         34153 function calls (33321 primitive calls) in 11.228 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75    0.001    0.000    0.017    0.000 D:\courses\courseWork\BelFashion\database\database.py:87(get_category_name)
        1    0.000    0.000    0.015    0.015 D:\courses\courseWork\BelFashion\database\database.py:267(add_order)
     3766    0.015    0.000    0.015    0.000 {built-in method setObjectName}
        2    0.000    0.000    0.014    0.007 D:\courses\courseWork\BelFashion\database\database.py:151(update_clothes)
        2    0.000    0.000    0.014    0.007 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:132(show_edit_clothes_screen)
        1    0.000    0.000    0.014    0.014 D:\courses\courseWork\BelFashion\database\database.py:38(add_user)
      523    0.013    0.000    0.013    0.000 {method 'fetchone' of 'sqlite3.Cursor' objects}
     2753    0.013    0.000    0.013    0.000 {translate}
        1    0.000    0.000    0.013    0.013 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:92(add_to_cart)
        1    0.000    0.000    0.012    0.012 D:\courses\courseWork\BelFashion\model\cart.py:14(remove_clothes)
        1    0.000    0.000    0.012    0.012 D:\courses\courseWork\BelFashion\model\cart.py:55(callOnRemoveEvent)
        1    0.000    0.000    0.012    0.012 D:\courses\courseWork\BelFashion\model\registration.py:11(__init__)
        1    0.010    0.010    0.012    0.012 D:\courses\courseWork\BelFashion\design\layouts\registration_layout.py:15(setupUi)
      531    0.012    0.000    0.012    0.000 {built-in method setText}
        1    0.001    0.001    0.012    0.012 D:\courses\courseWork\BelFashion\design\layouts\admin_layout.py:15(setupUi)
       18    0.001    0.000    0.009    0.000 D:\courses\courseWork\BelFashion\model\clothes_card.py:43(modify_card)
     2147    0.009    0.000    0.009    0.000 {built-in method itemAt}
        2    0.008    0.004    0.008    0.004 {built-in method addTab}
        1    0.000    0.000    0.007    0.007 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:11(__init__)
        3    0.000    0.000    0.007    0.002 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:78(set_clothes_id)
      827    0.007    0.000    0.007    0.000 {built-in method setMinimumSize}
        4    0.000    0.000    0.007    0.002 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:33(setupImageLabel)
        3    0.000    0.000    0.007    0.002 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:118(clear_all_fields)
       13    0.004    0.000    0.006    0.000 D:\courses\courseWork\BelFashion\model\admin_panel.py:63(clear_layout)
        4    0.000    0.000    0.006    0.002 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:47(load_info)
        2    0.000    0.000    0.006    0.003 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:56(set_clothes_id)
        2    0.000    0.000    0.006    0.003 D:\courses\courseWork\BelFashion\model\cart_view.py:84(go_order_placement)
        2    0.000    0.000    0.006    0.003 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:62(load_info)
       11    0.000    0.000    0.006    0.001 D:\courses\courseWork\BelFashion\model\admin_panel.py:60(clear_orders)
     2745    0.006    0.000    0.006    0.000 {built-in method setPointSize}
        1    0.002    0.002    0.005    0.005 D:\courses\courseWork\BelFashion\design\layouts\add_clothes_layout.py:15(setupUi)
        6    0.000    0.000    0.005    0.001 D:\courses\courseWork\BelFashion\database\database.py:166(search_clothes_name)
       33    0.005    0.000    0.005    0.000 {method 'fetchall' of 'sqlite3.Cursor' objects}
        1    0.000    0.000    0.004    0.004 D:\courses\courseWork\BelFashion\model\order_placement.py:14(__init__)
        1    0.002    0.002    0.004    0.004 D:\courses\courseWork\BelFashion\design\layouts\main_layout.py:15(setupUi)
        1    0.002    0.002    0.004    0.004 D:\courses\courseWork\BelFashion\design\layouts\order_placement_layout.py:15(setupUi)
     2147    0.004    0.000    0.004    0.000 {built-in method widget}
        7    0.000    0.000    0.004    0.001 D:\courses\courseWork\BelFashion\database\database.py:280(get_all_orders)
        8    0.000    0.000    0.004    0.000 D:\courses\courseWork\BelFashion\database\database.py:197(get_all_clothes)
        1    0.000    0.000    0.004    0.004 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:11(__init__)
       59    0.000    0.000    0.003    0.000 D:\courses\courseWork\BelFashion\model\clothes_card.py:77(set_removed)
       22    0.000    0.000    0.003    0.000 D:\courses\courseWork\BelFashion\model\clothes_card.py:73(set_added)
        1    0.001    0.001    0.003    0.003 D:\courses\courseWork\BelFashion\design\layouts\clothes_info_layout.py:15(setupUi)
        2    0.000    0.000    0.003    0.001 D:\courses\courseWork\BelFashion\model\main_view.py:99(on_remove_clothes)
        1    0.000    0.000    0.003    0.003 D:\courses\courseWork\BelFashion\model\order_details_view.py:9(__init__)
      479    0.003    0.000    0.003    0.000 {built-in method setMaximumSize}
        1    0.000    0.000    0.003    0.003 D:\courses\courseWork\BelFashion\model\cart.py:45(clear_cart)
      334    0.003    0.000    0.003    0.000 {built-in method resize}
        1    0.001    0.001    0.003    0.003 D:\courses\courseWork\BelFashion\design\layouts\order_details_layout.py:15(setupUi)
        3    0.000    0.000    0.002    0.001 D:\courses\courseWork\BelFashion\model\main_view.py:90(on_add_clothes)
       23    0.001    0.000    0.002    0.000 D:\courses\courseWork\BelFashion\model\clothes_card.py:57(check_clothes)
        1    0.000    0.000    0.002    0.002 D:\courses\courseWork\BelFashion\model\cart_view.py:10(__init__)
        1    0.000    0.000    0.002    0.002 D:\courses\courseWork\BelFashion\model\order_details_clothes_card.py:35(show_clothes_info)
       13    0.001    0.000    0.002    0.000 D:\courses\courseWork\BelFashion\model\main_view.py:57(clear_products)
        1    0.000    0.000    0.002    0.002 D:\courses\courseWork\BelFashion\model\admin_panel.py:90(add_clothes)
      613    0.002    0.000    0.002    0.000 {built-in method sizePolicy}
        1    0.001    0.001    0.002    0.002 D:\courses\courseWork\BelFashion\design\layouts\cart_layout.py:15(setupUi)
        1    0.000    0.000    0.002    0.002 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:25(initUI)
        1    0.000    0.000    0.002    0.002 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:87(go_back)
        1    0.000    0.000    0.002    0.002 D:\courses\courseWork\BelFashion\model\authorization.py:9(__init__)
        1    0.000    0.000    0.002    0.002 D:\courses\courseWork\BelFashion\design\layouts\authorization_layout.py:15(setupUi)
        1    0.000    0.000    0.002    0.002 D:\courses\courseWork\BelFashion\model\order_placement.py:74(cancel_order)
        5    0.000    0.000    0.002    0.000 D:\courses\courseWork\BelFashion\database\database.py:276(get_orders_by_user)
        3    0.000    0.000    0.002    0.001 D:\courses\courseWork\BelFashion\database\database.py:201(get_clothes_by_category)
        4    0.000    0.000    0.001    0.000 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:104(set_removed)
        8    0.000    0.000    0.001    0.000 D:\courses\courseWork\BelFashion\model\cart_view.py:46(get_category_name)
        6    0.001    0.000    0.001    0.000 {built-in method setStandardButtons}
      613    0.001    0.000    0.001    0.000 {built-in method setSizePolicy}
      254    0.001    0.000    0.001    0.000 {built-in method layout}
       11    0.001    0.000    0.001    0.000 D:\courses\courseWork\BelFashion\model\cart_view.py:50(clear_products)
      516    0.001    0.000    0.001    0.000 {built-in method count}
      613    0.001    0.000    0.001    0.000 {built-in method setHorizontalStretch}
      236    0.001    0.000    0.001    0.000 {built-in method value}
      613    0.001    0.000    0.001    0.000 {built-in method setHeightForWidth}
        3    0.000    0.000    0.001    0.000 D:\courses\courseWork\BelFashion\database\database.py:42(get_user)
      613    0.001    0.000    0.001    0.000 {built-in method setVerticalStretch}
       20    0.001    0.000    0.001    0.000 {singleShot}
       68    0.001    0.000    0.001    0.000 {built-in method setPixmap}
        2    0.000    0.000    0.001    0.000 D:\courses\courseWork\BelFashion\model\admin_panel.py:57(clear_products)
      283    0.001    0.000    0.001    0.000 {built-in method deleteLater}
        2    0.000    0.000    0.001    0.000 D:\courses\courseWork\BelFashion\database\database.py:91(get_category_id)
      409    0.001    0.000    0.001    0.000 {built-in method setBold}
        3    0.000    0.000    0.001    0.000 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:72(set_is_admin)
        2    0.000    0.000    0.001    0.000 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:32(modify_to_admin)
      613    0.001    0.000    0.001    0.000 {built-in method hasHeightForWidth}
       41    0.001    0.000    0.001    0.000 {built-in method hide}
      145    0.001    0.000    0.001    0.000 {built-in method setAlignment}
       20    0.001    0.000    0.001    0.000 {method 'disconnect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
      288    0.001    0.000    0.001    0.000 {built-in method setTextInteractionFlags}
       72    0.001    0.000    0.001    0.000 {built-in method setAutoDefault}
       75    0.000    0.000    0.001    0.000 D:\courses\courseWork\BelFashion\model\cart.py:33(get_clothes_ids)
        1    0.000    0.000    0.001    0.001 D:\courses\courseWork\BelFashion\database\database.py:239(get_order_items_by_order_id)
       77    0.001    0.000    0.001    0.000 {built-in method setFamily}
        1    0.000    0.000    0.001    0.001 D:\courses\courseWork\BelFashion\model\registration.py:30(validate_inputs)
        1    0.000    0.000    0.001    0.001 D:\courses\courseWork\BelFashion\database\database.py:57(check_user)
        1    0.000    0.000    0.001    0.001 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:100(set_added)
      409    0.001    0.000    0.001    0.000 {built-in method setWeight}
        1    0.000    0.000    0.000    0.000 {built-in method setDecimals}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\database\database.py:54(user_in_db)
        2    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\clothes_info_view.py:112(on_remove_clothes)
       72    0.000    0.000    0.000    0.000 {built-in method setTextFormat}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\registration.py:21(show_password)
      418    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\database\database.py:99(get_all_categories)
        5    0.000    0.000    0.000    0.000 {built-in method setEchoMode}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\main_view.py:48(load_categories)
       41    0.000    0.000    0.000    0.000 {built-in method text}
      145    0.000    0.000    0.000    0.000 {built-in method setWordWrap}
        4    0.000    0.000    0.000    0.000 {built-in method setReadOnly}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:53(load_categories)
      250    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\cart.py:30(get_clothes)
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\design\layouts\order_placement_layout.py:119(retranslateUi)
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\database\database.py:61(is_admin)
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\design\layouts\clothes_info_layout.py:149(retranslateUi)
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\design\layouts\registration_layout.py:124(retranslateUi)
        6    0.000    0.000    0.000    0.000 {built-in method clear}
       66    0.000    0.000    0.000    0.000 {built-in method setScaledContents}
       75    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\cart.py:34(<listcomp>)
        4    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:40(modify_to_edit)
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\design\layouts\add_clothes_layout.py:161(retranslateUi)
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\design\layouts\admin_layout.py:140(retranslateUi)
        2    0.000    0.000    0.000    0.000 <frozen genericpath>:27(isfile)
       74    0.000    0.000    0.000    0.000 {built-in method setFlat}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\design\layouts\main_layout.py:104(retranslateUi)
       79    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       77    0.000    0.000    0.000    0.000 {built-in method setItalic}
       30    0.000    0.000    0.000    0.000 {built-in method setWidget}
       72    0.000    0.000    0.000    0.000 {built-in method setDefault}
        1    0.000    0.000    0.000    0.000 {built-in method addItems}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\design\layouts\order_details_layout.py:67(retranslateUi)
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\design\layouts\authorization_layout.py:107(retranslateUi)
        9    0.000    0.000    0.000    0.000 {built-in method setWindowTitle}
        2    0.000    0.000    0.000    0.000 {built-in method currentText}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\design\layouts\cart_layout.py:84(retranslateUi)
        2    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:127(get_title)
        2    0.000    0.000    0.000    0.000 {built-in method addItem}
       10    0.000    0.000    0.000    0.000 {built-in method setCentralWidget}
        2    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\add_clothes_view.py:136(get_description)
        2    0.000    0.000    0.000    0.000 {built-in method setTitle}
       34    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 D:\courses\courseWork\BelFashion\model\order_placement.py:34(get_email)
